"src_id","user_id","account_id","platform_id","account_name","ads_id","ads_name","created_date","start_date","modified_date","end_date","campaign_id","campaign_name","currency_id","spent_amount","reach","impressions","frequency","cpm","link_clicks","ctr","post_comments","post_reactions","post_shares","video_views","six_sec_video_view","full_video_view","est_ad_recall_lift","est_ad_recall_lift_rate","active_view_measurability","landing_page_clicks","paid_comments","paid_likes","paid_shares"
"TIKTOK.1774198321989666.2023-08-14 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-14","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.090","677","705","1.040","0.130","","0.140","","","","699","33","6","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-21 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-21","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","19.420","29575","43504","1.470","0.450","","0.490","","","","43122","3487","485","","","","","3","66","0"
"TIKTOK.1774200383883281.2023-08-22 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-22","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-18 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-18","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","16.690","24922","34677","1.390","0.480","","0.660","","","","34374","2761","422","","","","","2","120","0"
"TIKTOK.1774198321989666.2023-08-15 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-15","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.060","167","210","1.260","0.290","","0.000","","","","202","19","5","","","","","0","0","0"
"TIKTOK.1774200383883281.2023-08-15 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-15","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","19.930","44483","48334","1.090","0.410","","0.570","","","","43399","13977","10791","","","","","12","322","2"
"TIKTOK.1774200383883281.2023-08-18 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-18","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","2.700","5716","5846","1.020","0.460","","0.680","","","","5404","1306","981","","","","","1","43","0"
"TIKTOK.1774198321989666.2023-08-24 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-24","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-20 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-20","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","19.280","29868","41733","1.400","0.460","","0.510","","","","41402","3493","536","","","","","1","97","1"
"TIKTOK.1774200383883281.2023-08-24 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-24","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774200383883281.2023-08-14 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-14","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","10.470","23975","24908","1.040","0.420","","0.670","","","","22251","7639","5992","","","","","4","164","0"
"TIKTOK.1774198321989666.2023-08-23 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-23","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-22 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-22","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","9.320","17277","21190","1.230","0.440","","0.500","","","","21015","1730","239","","","","","2","35","0"
"TIKTOK.1774198321989666.2023-08-19 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-19","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","20.210","27654","40672","1.470","0.500","","0.560","","","","40324","3389","447","","","","","3","101","1"
"TIKTOK.1774200383883281.2023-08-21 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-21","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-16 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-16","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.030","162","214","1.320","0.140","","0.470","","","","214","17","0","","","","","0","3","0"
"TIKTOK.1774200383883281.2023-08-16 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-16","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","21.230","45094","49588","1.100","0.430","","0.650","","","","45196","12291","9600","","","","","13","438","4"
"TIKTOK.1774200383883281.2023-08-20 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-20","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774200383883281.2023-08-23 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-23","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774200383883281.2023-08-17 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-17","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","20.510","41537","45126","1.090","0.450","","0.530","","","","41482","10482","7922","","","","","20","365","2"
"TIKTOK.1774200383883281.2023-08-19 00:00:00","","6998489864203157505","TIKTOK","","1774200383883281","02_Fanta+hotdog","","2023-08-19","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1774198321989666.2023-08-17 00:00:00","","6998489864203157505","TIKTOK","","1774198321989666","01_PWG teaser_odpočet","","2023-08-17","","","1774198321973266","MOL CZ - TT - Video views - 07(08)/2023","EUR","0.020","139","176","1.270","0.110","","1.140","","","","171","10","4","","","","","0","2","0"
"TIKTOK.1770113879297073.2023-07-29 00:00:00","","6998489864203157505","TIKTOK","","1770113879297073","01_Get ready with me - MOLka","","2023-07-29","","","1770113875340322","MOL CZ - TT - Video views - 06/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1770113879297073.2023-07-28 00:00:00","","6998489864203157505","TIKTOK","","1770113879297073","01_Get ready with me - MOLka","","2023-07-28","","","1770113875340322","MOL CZ - TT - Video views - 06/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
"TIKTOK.1770113879297073.2023-07-26 00:00:00","","6998489864203157505","TIKTOK","","1770113879297073","01_Get ready with me - MOLka","","2023-07-26","","","1770113875340322","MOL CZ - TT - Video views - 06/2023","EUR","0.000","0","0","0.000","0.000","","0.000","","","","0","0","0","","","","","0","0","0"
